Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning,Chapter/Unit_Name
1,11,N/A - Module 1 PDF,What does investigation using intelligence focus on?,Financial ratios,Background and behavioral analysis,Tax compliance records,Inventory counts,b,"Chapter 1 explains that investigation using intelligence involves analyzing educational, family, and behavioral backgrounds.",Unit 1: Forensic Accounting and Fraud Detection
1,12,N/A - Module 1 PDF,"Which law empowers forensic accountants to investigate fraud under the Companies Act, 2013?",Section 447,Section 123,Section 302,Section 501,a,"Chapter 2 states that Section 447 of the Companies Act, 2013, deals with punishment for fraud.",Unit 1: Forensic Accounting and Fraud Detection
1,13,N/A - Module 1 PDF,Which act addresses unauthorized access and downloading of files?,"Companies Act, 2013","Information Technology Act, 2000","SEBI Act, 1992","Insurance Act, 1938",b,"Chapter 2 notes that Sections 43 and 44 of the IT Act, 2000, cover unauthorized access and downloading.",Unit 1: Forensic Accounting and Fraud Detection
1,14,N/A - Module 1 PDF,What does FAIS 110 focus on?,Fraud risk identification,Nature of engagement,Evidence collection,Budget planning,b,"FAIS 110, as per Chapter 2, assists professionals in understanding the nature of forensic accounting engagements.",Unit 1: Forensic Accounting and Fraud Detection
1,15,N/A - Module 1 PDF,What is a key objective of FAIS 120?,Defining engagement scope,Identifying fraud risk indicators,Conducting interviews,Managing budgets,b,"FAIS 120 focuses on identifying and prioritizing fraud risk indicators, as described in Chapter 2.",Unit 1: Forensic Accounting and Fraud Detection
1,16,N/A - Module 1 PDF,Which FAIS standard ensures knowledge of relevant laws and regulations?,FAIS 110,FAIS 130,FAIS 210,FAIS 310,b,"FAIS 130 ensures professionals are aware of laws like the Evidence Act and Companies Act, per Chapter 2.",Unit 1: Forensic Accounting and Fraud Detection
1,17,N/A - Module 1 PDF,What does FAIS 140 emphasize in forensic investigations?,Financial statement analysis,Applying hypothesis,Budget control,Inventory management,b,"FAIS 140 guides professionals to form hypotheses to make evidence collection methodological, as per Chapter 2.",Unit 1: Forensic Accounting and Fraud Detection
1,18,N/A - Module 1 PDF,"Which section of the Income Tax Act, 1961, deals with unexplained money?",Section 68,Section 69,Section 69A,Section 69C,c,"Chapter 2 specifies that Section 69A addresses unexplained money, bullion, or valuable articles.",Unit 1: Forensic Accounting and Fraud Detection
1,19,N/A - Module 1 PDF,What is a primary evidence type in FAIS 320?,Certified copies,Original documents,Oral statements,Electronic records,b,"FAIS 320 classifies primary evidence as original documents, as noted in Chapter 2.",Unit 1: Forensic Accounting and Fraud Detection
1,20,N/A - Module 1 PDF,Which FAIS standard governs communication with stakeholders?,FAIS 230,FAIS 250,FAIS 310,FAIS 410,b,"FAIS 250 provides guidelines for clear and confidential communication with stakeholders, per Chapter 2.",Unit 1: Forensic Accounting and Fraud Detection
1,21,N/A - Module 1 PDF,What is the primary concern of digital forensics?,Developing software applications,Identifying and analyzing digital evidence,Managing financial audits,Conducting market research,b,"Chapter 1 of Unit 2 defines digital forensics as the identification, preservation, examination, and analysis of digital evidence.",Unit 2: Basics of Digital Forensic and Cyber Security
1,22,N/A - Module 1 PDF,Which of the following is a recent trend in cybercrime?,Manual accounting fraud,Cyber frauds in financial sectors,Physical theft of assets,Traditional auditing errors,b,Chapter 2 of Unit 2 highlights cyber frauds in financial sectors as a recent trend.,Unit 2: Basics of Digital Forensic and Cyber Security
1,23,N/A - Module 1 PDF,What is a common modus operandi in cybercrimes?,Physical break-ins,Phishing attacks,Manual document forging,Face-to-face negotiations,b,Chapter 3 of Unit 2 lists phishing as a common method used in cybercrimes.,Unit 2: Basics of Digital Forensic and Cyber Security
1,24,N/A - Module 1 PDF,What is the role of ethical hacking in digital forensics?,To create viruses,To identify system vulnerabilities,To manage financial records,To develop marketing strategies,b,Chapter 4 of Unit 2 explains that ethical hacking helps identify vulnerabilities to strengthen security.,Unit 2: Basics of Digital Forensic and Cyber Security
1,25,N/A - Module 1 PDF,Which step is part of the digital forensic process?,Developing software,Evidence preservation,Financial forecasting,Employee training,b,Chapter 5 of Unit 2 includes evidence preservation as a key step in the digital forensic process.,Unit 2: Basics of Digital Forensic and Cyber Security
1,26,N/A - Module 1 PDF,Which law addresses information technology crimes in India?,"Companies Act, 2013","Information Technology Act, 2000","SEBI Act, 1992","Insurance Act, 1938",b,"Chapter 6 of Unit 2 notes that the IT Act, 2000, governs IT-related crimes.",Unit 2: Basics of Digital Forensic and Cyber Security
1,27,N/A - Module 1 PDF,What is an example of a digital forensics tool?,Microsoft Excel,OSINT tools,SAP ERP,Oracle Fusion,b,Chapter 7 of Unit 2 mentions OSINT tools as commonly used in digital forensics.,Unit 2: Basics of Digital Forensic and Cyber Security
1,28,N/A - Module 1 PDF,How is digital forensics applied in auditing?,By preparing financial statements,By analyzing electronic evidence for fraud,By managing employee payroll,By conducting market analysis,b,Chapter 8 of Unit 2 discusses the role of digital forensics in auditing to detect fraud through electronic evidence.,Unit 2: Basics of Digital Forensic and Cyber Security
1,29,N/A - Module 1 PDF,What is a key benefit of digital forensics in forensic accounting?,Reducing tax liabilities,Enhancing evidence credibility,Increasing sales revenue,Simplifying payroll processes,b,Chapter 8 of Unit 2 highlights that digital forensics strengthens the credibility of evidence in forensic accounting.,Unit 2: Basics of Digital Forensic and Cyber Security
1,30,N/A - Module 1 PDF,Which of the following is a cybercrime affecting financial sectors?,Physical theft,Data breaches,Manual errors,Inventory mismanagement,b,Chapter 2 of Unit 2 identifies data breaches as a significant cybercrime in financial sectors.,Unit 2: Basics of Digital Forensic and Cyber Security
1,31,N/A - Module 1 PDF,What is the primary purpose of RPA in finance and accounts?,Managing employee performance,Automating repetitive tasks,Conducting market research,Developing software applications,b,Chapter 2 of Unit 3 defines RPA as a technology to automate repetitive tasks in finance and accounts.,Unit 3: Robotic Process Automation (RPA)
1,32,N/A - Module 1 PDF,Which technology is used for web automation in RPA?,Microsoft Excel,Selenium library,Oracle ERP,KNIME,b,The knowledge statement in Unit 3 mentions the Selenium library for web automation.,Unit 3: Robotic Process Automation (RPA)
1,33,N/A - Module 1 PDF,What is Power Automate used for in RPA?,Data analytics,Workflow automation,Financial forecasting,Inventory management,b,The knowledge statement in Unit 3 lists Power Automate as a tool for workflow automation.,Unit 3: Robotic Process Automation (RPA)
1,34,N/A - Module 1 PDF,Which library is used for email automation in RPA?,Pandas,SMTP library,Selenium,KNIME,b,The knowledge statement in Unit 3 identifies the SMTP library for email automation.,Unit 3: Robotic Process Automation (RPA)
1,35,N/A - Module 1 PDF,What is the impact of RPA on financial processes?,Increased manual errors,Improved efficiency and accuracy,Higher operational costs,Reduced data security,b,Chapter 3 of Unit 3 highlights that RPA enhances efficiency and accuracy in financial processes.,Unit 3: Robotic Process Automation (RPA)
1,36,N/A - Module 1 PDF,Which task is NOT typically automated by RPA?,Data entry,Invoice processing,Strategic decision-making,Email notifications,c,"RPA automates repetitive tasks like data entry and invoice processing, not strategic decision-making, as per Unit 3.",Unit 3: Robotic Process Automation (RPA)
1,37,N/A - Module 1 PDF,What is a benefit of using RPA in finance?,Increased need for manual intervention,Reduced processing time,Higher error rates,Complex implementation,b,Chapter 3 of Unit 3 notes that RPA reduces processing time for financial tasks.,Unit 3: Robotic Process Automation (RPA)
1,38,N/A - Module 1 PDF,Which of the following is a basic RPA task?,Developing AI algorithms,Performing web automation,Conducting forensic audits,Managing employee relations,b,The task statement in Unit 3 includes executing basic web automation tasks as part of RPA.,Unit 3: Robotic Process Automation (RPA)
1,39,N/A - Module 1 PDF,What does the Pandas library support in RPA?,Email automation,Data manipulation and analysis,Web scraping,GUI automation,b,The knowledge statement in Unit 3 mentions Pandas for data manipulation and analysis.,Unit 3: Robotic Process Automation (RPA)
1,40,N/A - Module 1 PDF,What is a key feature of RPA in financial processes?,Manual data verification,Scalability and flexibility,Increased compliance risks,Limited software compatibility,b,Chapter 3 of Unit 3 emphasizes the scalability and flexibility of RPA in financial processes.,Unit 3: Robotic Process Automation (RPA)
1,41,N/A - Module 1 PDF,What is the focus of the P2P cycle audit in Oracle Fusion ERP?,Sales order processing,Procurement to payment processes,Revenue recognition,Employee payroll,b,Chapter 1 of Unit 4 defines the P2P cycle audit as focusing on procurement to payment processes.,Unit 4: Oracle Fusion ERP
1,42,N/A - Module 1 PDF,What does the Order to Cash audit in Oracle Fusion ERP involve?,Managing vendor payments,Sales order to payment collection,Fixed asset depreciation,Budget planning,b,Chapter 2 of Unit 4 describes the Order to Cash audit as covering sales order to payment collection.,Unit 4: Oracle Fusion ERP
1,43,N/A - Module 1 PDF,What is a key benefit of auditing in Oracle Fusion ERP?,Increased manual errors,Enhanced process transparency,Higher compliance costs,Reduced data security,b,Unit 4 highlights that auditing in Oracle Fusion ERP improves transparency in financial processes.,Unit 4: Oracle Fusion ERP
1,44,N/A - Module 1 PDF,Which process is audited in the Fusion - Audit chapter?,Employee performance reviews,Financial business processes,Marketing campaigns,Inventory counts,b,Chapter 3 of Unit 4 focuses on auditing financial business processes in Oracle Fusion ERP.,Unit 4: Oracle Fusion ERP
1,45,N/A - Module 1 PDF,What is a key feature of Oracle Fusion ERP in auditing?,Manual data entry,Automated workflows,Limited reporting capabilities,High implementation costs,b,Unit 4 emphasizes that Oracle Fusion ERP uses automated workflows for efficient auditing.,Unit 4: Oracle Fusion ERP
1,46,N/A - Module 1 PDF,Which of the following is NOT part of the P2P cycle audit?,Purchase requisition,Invoice approval,Revenue recognition,Payment processing,c,"The P2P cycle audit, as per Chapter 1 of Unit 4, does not include revenue recognition.",Unit 4: Oracle Fusion ERP
1,47,N/A - Module 1 PDF,What does the Order to Cash process ensure in Oracle Fusion ERP?,Accurate vendor payments,Timely customer collections,Fixed asset tracking,Budget compliance,b,Chapter 2 of Unit 4 states that the Order to Cash process ensures timely customer collections.,Unit 4: Oracle Fusion ERP
1,48,N/A - Module 1 PDF,What is audited in the Fusion - Audit process?,Employee attendance,Financial transactions,Marketing strategies,Inventory levels,b,Chapter 3 of Unit 4 focuses on auditing financial transactions in Oracle Fusion ERP.,Unit 4: Oracle Fusion ERP
1,49,N/A - Module 1 PDF,What is a key objective of auditing in Oracle Fusion ERP?,Reducing financial transparency,Ensuring compliance with regulations,Increasing manual processes,Limiting data access,b,Unit 4 highlights that auditing in Oracle Fusion ERP ensures compliance with regulatory standards.,Unit 4: Oracle Fusion ERP
1,50,N/A - Module 1 PDF,Which module in Oracle Fusion ERP supports financial process auditing?,Human Capital Management,Financials Cloud,Supply Chain Management,Customer Relationship Management,b,"The Financials Cloud module in Oracle Fusion ERP supports auditing of financial processes, as per Unit 4.",Unit 4: Oracle Fusion ERP
1,51,N/A - Module 1 PDF,What is the primary purpose of accounts payable in Dynamics 365 Finance?,Managing customer payments,Managing vendor payments,Tracking employee salaries,Recording tax payments,b,Chapter 1 of Unit 5 states that accounts payable focuses on managing vendor payments.,Unit 5: Microsoft Dynamics 365
1,52,N/A - Module 1 PDF,What is a core component of accounts payable in Dynamics 365 Finance?,Sales orders,Purchase orders,Customer invoices,Employee records,b,Chapter 1 of Unit 5 lists purchase orders as a core component of accounts payable.,Unit 5: Microsoft Dynamics 365
1,53,N/A - Module 1 PDF,What is the purpose of three-way matching in accounts payable?,Matching vendor invoices with customer invoices,Matching vendor invoices with purchase orders and product receipts,Matching vendor invoices with sales orders,Matching vendor invoices with payments,b,"Chapter 1 of Unit 5 explains that three-way matching ensures alignment of vendor invoices, purchase orders, and product receipts.",Unit 5: Microsoft Dynamics 365
1,54,N/A - Module 1 PDF,How can vendor invoices be entered in Dynamics 365 Finance?,Only manually,Only electronically,Both manually and electronically,Only through vendor invoice pools,c,Chapter 1 of Unit 5 notes that vendor invoices can be entered manually or electronically.,Unit 5: Microsoft Dynamics 365
1,55,N/A - Module 1 PDF,What is a pro forma invoice in Dynamics 365 Finance?,A finalized sales invoice,An estimate of actual invoice amounts before posting,An invoice for overdue payments,An invoice based on sales orders,b,Chapter 5 of Unit 5 defines a pro forma invoice as an estimate before the actual invoice is posted.,Unit 5: Microsoft Dynamics 365
1,56,N/A - Module 1 PDF,What is the primary function of credit management in Dynamics 365 Finance?,Eliminating customer credit limits,Setting credit limits and managing sales order holds,Approving all sales orders automatically,Increasing credit limits for all customers,b,Chapter 5 of Unit 5 explains that credit management involves setting credit limits and controlling sales order holds.,Unit 5: Microsoft Dynamics 365
1,57,N/A - Module 1 PDF,What does collections management provide in Dynamics 365 Finance?,Vendor payment processing,Centralized view for managing collections,Purchase order creation,Employee payroll management,b,Chapter 5 of Unit 5 describes collections management as providing a centralized view for accounts receivable collections.,Unit 5: Microsoft Dynamics 365
1,58,N/A - Module 1 PDF,What is revenue recognition in Dynamics 365 Finance?,Tracking vendor payments,Breaking down sales into multi-element lines,Estimating future revenue,Managing customer credit limits,b,Chapter 5 of Unit 5 defines revenue recognition as breaking down sales into multi-element lines for scheduled recognition.,Unit 5: Microsoft Dynamics 365
1,59,N/A - Module 1 PDF,Which module in Dynamics 365 Finance supports subscription billing?,Revenue Recognition,Credit Management,Subscription Billing,Collections Management,c,Chapter 5 of Unit 5 highlights the Subscription Billing module for managing recurring billing.,Unit 5: Microsoft Dynamics 365
1,60,N/A - Module 1 PDF,Can subscription billing and revenue recognition be used simultaneously in Dynamics 365 Finance?,Yes,No,Only for specific industries,Only with manual adjustments,b,Chapter 5 of Unit 5 states that subscription billing and revenue recognition cannot be used together.,Unit 5: Microsoft Dynamics 365
1,61,N/A - Module 1 PDF,What is the primary function of the expense management module in Dynamics 365 Finance?,Managing employee salaries,Managing bank accounts and expenses,Managing customer accounts,Managing inventory levels,b,Chapter 6 of Unit 5 describes expense management as handling bank accounts and organizational expenses.,Unit 5: Microsoft Dynamics 365
1,62,N/A - Module 1 PDF,Which financial instruments are associated with bank accounts in Dynamics 365 Finance?,Invoices and purchase orders,Checks and bills of exchange,Sales orders and receipts,Inventory items and vendors,b,Chapter 6 of Unit 5 lists checks and bills of exchange as financial instruments in cash and bank management.,Unit 5: Microsoft Dynamics 365
1,63,N/A - Module 1 PDF,What does reconciliation refer to in cash and bank management?,Balancing income and expenses,Matching bank transactions with bank statements,Reviewing employee salaries,Managing letters of guarantee,b,Chapter 6 of Unit 5 defines reconciliation as matching bank transactions with statements.,Unit 5: Microsoft Dynamics 365
1,64,N/A - Module 1 PDF,What is the purpose of a deposit slip in Dynamics 365 Finance?,Creating invoices for customers,Depositing checks and cash into a bank account,Recording employee expenses,Managing vendor payments,b,Chapter 6 of Unit 5 explains that deposit slips are used to deposit checks and cash.,Unit 5: Microsoft Dynamics 365
1,65,N/A - Module 1 PDF,What is a letter of guarantee in Dynamics 365 Finance?,A contract with a vendor,An agreement to pay if a customer defaults,A type of expense report,An agreement with a bank,b,Chapter 6 of Unit 5 defines a letter of guarantee as a bank’s agreement to pay if a customer defaults.,Unit 5: Microsoft Dynamics 365
1,66,N/A - Module 1 PDF,What feature streamlines expense reporting in Dynamics 365 Finance?,Budgeting capabilities,Expense reports reimagined,Fixed asset management,Cash and bank management,b,Chapter 6 of Unit 5 highlights the Expense reports reimagined feature for streamlined expense reporting.,Unit 5: Microsoft Dynamics 365
1,67,N/A - Module 1 PDF,What should be considered when planning expense management in Dynamics 365 Finance?,Supplier negotiation strategies,The organization’s hierarchy and financial background,Employee training programs,Tax regulations for their location,b,Chapter 6 of Unit 5 emphasizes considering the organization’s hierarchy and financial background during planning.,Unit 5: Microsoft Dynamics 365
1,68,N/A - Module 1 PDF,What are per diems used for in expense management?,Tracking employee attendance,Covering expenses like meals and accommodation,Estimating inventory costs,Calculating depreciation,b,Chapter 6 of Unit 5 explains that per diems cover expenses such as meals and accommodation.,Unit 5: Microsoft Dynamics 365
1,69,N/A - Module 1 PDF,What factor determines the per diem rate in Dynamics 365 Finance?,Employee’s job title,Employee’s travel destination,Employee’s age,Employee’s preferred payment method,b,Chapter 6 of Unit 5 notes that per diem rates vary based on travel destination.,Unit 5: Microsoft Dynamics 365
1,70,N/A - Module 1 PDF,Which is NOT a common expense category in Dynamics 365 Finance?,Airfare,Lodging,Vehicle depreciation,Ground transportation,c,"Chapter 6 of Unit 5 lists airfare, lodging, and ground transportation as common expense categories, not vehicle depreciation.",Unit 5: Microsoft Dynamics 365
1,71,N/A - Module 1 PDF,What is the primary purpose of the Expense management workspace?,Managing employee payroll,Creating and submitting expense reports,Tracking customer invoices,Reviewing vendor contracts,b,Chapter 6 of Unit 5 describes the Expense management workspace as the landing page for expense reports.,Unit 5: Microsoft Dynamics 365
1,72,N/A - Module 1 PDF,What is depreciation in fixed asset management?,An increase in asset value,A decrease in asset value over time,The initial cost of an asset,The value at the end of useful life,b,Chapter 6 of Unit 5 defines depreciation as the decrease in an asset’s value over its useful life.,Unit 5: Microsoft Dynamics 365
1,73,N/A - Module 1 PDF,What is the purpose of a depreciation profile in Dynamics 365 Finance?,Recording asset acquisitions,Calculating depreciation of fixed assets,Managing employee salaries,Reconciling bank accounts,b,Chapter 6 of Unit 5 explains that depreciation profiles configure how assets are depreciated.,Unit 5: Microsoft Dynamics 365
1,74,N/A - Module 1 PDF,What is the role of budget control in Dynamics 365 Finance?,Creating new budget models,Ensuring sufficient budget funds for purchases,Automating expense approvals,Tracking vendor contracts,b,Chapter 6 of Unit 5 states that budget control ensures sufficient funds for planned or actual purchases.,Unit 5: Microsoft Dynamics 365
1,75,N/A - Module 1 PDF,Which budgeting methodology reverses traditional budgeting?,Historical budgeting,Zero-based budgeting,Incremental budgeting,Forecast budgeting,b,Chapter 6 of Unit 5 describes zero-based budgeting as reversing traditional budgeting by justifying all expenses. Additional MCQs Across Units,Unit 5: Microsoft Dynamics 365
1,76,N/A - Module 1 PDF,Which tool is used for data analytics in the AICITSS curriculum?,Microsoft Excel,MS Power BI,Oracle ERP,SAP,b,The preface mentions MS Power BI as a user-friendly data analytics tool in the curriculum.,Unit 5: Microsoft Dynamics 365
1,77,N/A - Module 1 PDF,What is a key objective of the AICITSS Advanced IT curriculum?,Developing marketing strategies,Building IT skills for CA students,Managing employee relations,Conducting physical audits,b,The preface states that the curriculum aims to build IT skills for CA students.,Unit 5: Microsoft Dynamics 365
1,78,N/A - Module 1 PDF,Which ERP system is covered in the AICITSS curriculum for auditing?,SAP,Oracle Fusion ERP,Microsoft Excel,KNIME,b,Unit 4 focuses on Oracle Fusion ERP for auditing financial processes.,Unit 5: Microsoft Dynamics 365
1,79,N/A - Module 1 PDF,What is a key benefit of using data analytics tools like KNIME?,Increased manual errors,Quick report generation,Higher implementation costs,Reduced data security,b,The preface highlights that tools like KNIME enable quick report generation and actionable insights.,Unit 5: Microsoft Dynamics 365
1,80,N/A - Module 1 PDF,Which of the following is a focus area of the AICITSS curriculum?,Employee training programs,Forensic accounting and fraud detection,Physical inventory counts,Marketing campaign analysis,b,Unit 1 of the curriculum covers forensic accounting and fraud detection.,Unit 5: Microsoft Dynamics 365
1,81,N/A - Module 1 PDF,What does the Net Worth Theory help identify?,Tax evasion,Employee fraud,Inventory mismanagement,Marketing inefficiencies,a,Chapter 1 of Unit 1 states that the Net Worth Theory is used to detect tax evasion.,Unit 5: Microsoft Dynamics 365
1,82,N/A - Module 1 PDF,Which FAIS standard addresses evidence gathering in the digital domain?,FAIS 320,FAIS 410,FAIS 420,FAIS 510,c,Chapter 2 of Unit 1 lists FAIS 420 as focusing on evidence gathering in the digital domain.,Unit 5: Microsoft Dynamics 365
1,83,N/A - Module 1 PDF,What is a key feature of Microsoft Dynamics 365 Finance?,Manual data entry,Automated financial processes,Limited reporting capabilities,High error rates,b,Unit 5 emphasizes automation in financial processes in Dynamics 365 Finance.,Unit 5: Microsoft Dynamics 365
1,84,N/A - Module 1 PDF,Which of the following is a cyber security concern in the AICITSS curriculum?,Physical theft,Data breaches,Manual errors,Inventory shortages,b,Unit 2 highlights data breaches as a key cyber security concern.,Unit 5: Microsoft Dynamics 365
1,85,N/A - Module 1 PDF,What is the role of a forensic accountant in digital forensics?,Developing software,Analyzing digital evidence for fraud,Managing employee payroll,Conducting market surveys,b,Chapter 8 of Unit 2 describes the forensic accountant’s role in analyzing digital evidence.,Unit 5: Microsoft Dynamics 365
1,86,N/A - Module 1 PDF,Which process is automated by RPA in finance?,Strategic planning,Invoice processing,Employee hiring,Market analysis,b,Unit 3 notes that RPA automates tasks like invoice processing.,Unit 5: Microsoft Dynamics 365
1,87,N/A - Module 1 PDF,What is a key objective of the P2P cycle audit in Oracle Fusion ERP?,Ensuring timely vendor payments,Managing customer collections,Tracking employee expenses,Forecasting revenue,a,Chapter 1 of Unit 4 focuses on ensuring timely vendor payments in the P2P cycle.,Unit 5: Microsoft Dynamics 365
1,88,N/A - Module 1 PDF,What does the revenue journal do in Dynamics 365 Finance?,Records vendor payments,Releases scheduled revenue,Manages customer credit limits,Creates purchase orders,b,Chapter 5 of Unit 5 explains that the revenue journal releases scheduled revenue to actual revenue.,Unit 5: Microsoft Dynamics 365
1,89,N/A - Module 1 PDF,Which of the following is a task statement for RPA?,Conducting forensic audits,Executing basic web automation tasks,Managing employee relations,Developing AI models,b,The task statement in Unit 3 includes executing basic web automation tasks.,Unit 5: Microsoft Dynamics 365
1,90,N/A - Module 1 PDF,What is a key benefit of forensic accounting in fraud detection?,Increased fraud incidents,Enhanced detection of financial crimes,Reduced regulatory compliance,Higher operational costs,b,Unit 1 emphasizes that forensic accounting improves the detection of financial crimes.,Unit 5: Microsoft Dynamics 365
1,91,N/A - Module 1 PDF,Which law governs money laundering in India?,"Companies Act, 2013","Prevention of Money Laundering Act, 2002","SEBI Act, 1992","Insurance Act, 1938",b,"Chapter 2 of Unit 1 lists the Prevention of Money Laundering Act, 2002, as governing money laundering.",Unit 5: Microsoft Dynamics 365
1,92,N/A - Module 1 PDF,What is a key feature of the Expense reports reimagined feature?,Manual expense tracking,Simplified form fields,Increased processing time,Limited policy reminders,b,Chapter 6 of Unit 5 highlights simplified form fields in the Expense reports reimagined feature.,Unit 5: Microsoft Dynamics 365
1,93,N/A - Module 1 PDF,Which FAIS standard addresses testifying before a competent authority?,FAIS 310,FAIS 360,FAIS 410,FAIS 510,b,Chapter 2 of Unit 1 lists FAIS 360 as governing testifying before a competent authority.,Unit 5: Microsoft Dynamics 365
1,94,N/A - Module 1 PDF,What is the purpose of fixed asset management in Dynamics 365 Finance?,Tracking short-term assets,Managing long-term assets and depreciation,Recording employee expenses,Forecasting revenue,b,Chapter 6 of Unit 5 focuses on managing long-term assets and their depreciation.,Unit 5: Microsoft Dynamics 365
1,95,N/A - Module 1 PDF,Which tool is used for data cleaning in the AICITSS curriculum?,Microsoft Word,Python,SAP,Oracle ERP,b,The preface mentions Python as a tool for cleaning and analyzing big data.,Unit 5: Microsoft Dynamics 365
1,96,N/A - Module 1 PDF,What is a key objective of FAIS 210?,Evidence collection,Defining engagement objectives,Conducting interviews,Budget planning,b,Chapter 2 of Unit 1 states that FAIS 210 ensures clarity in engagement objectives.,Unit 5: Microsoft Dynamics 365
1,97,N/A - Module 1 PDF,Which process is NOT part of the Order to Cash audit?,Sales order processing,Invoice generation,Vendor payment,Payment collection,c,Chapter 2 of Unit 4 excludes vendor payment from the Order to Cash audit.,Unit 5: Microsoft Dynamics 365
1,98,N/A - Module 1 PDF,What is a key benefit of using OSINT tools in digital forensics?,Increased manual errors,Enhanced evidence gathering,Reduced data security,Higher implementation costs,b,Chapter 7 of Unit 2 highlights OSINT tools for effective evidence gathering.,Unit 5: Microsoft Dynamics 365
1,99,N/A - Module 1 PDF,Which budgeting method uses past performance as a base?,Zero-based budgeting,Historical budgeting,Forecast budgeting,Incremental budgeting,b,Chapter 6 of Unit 5 describes historical budgeting as using past performance with incremental adjustments.,Unit 5: Microsoft Dynamics 365
1,100,N/A - Module 1 PDF,What is the role of the Subscription Billing module in Dynamics 365 Finance?,Managing vendor payments,Handling recurring billing and revenue,Tracking employee expenses,Conducting forensic audits,b,Name itself implies it.,Unit 5: Microsoft Dynamics 365
1,101,N/A - Module 1 PDF,What is a key role of a forensic accountant in fraud detection?,Preparing marketing plans,Investigating financial irregularities,Managing employee payroll,Conducting inventory audits,b,Chapter 1 of Unit 1 emphasizes that forensic accountants investigate financial irregularities to detect fraud.,Unit 5: Microsoft Dynamics 365
1,102,N/A - Module 1 PDF,Which method traces unreported income by analyzing personal spending?,Net Worth Theory,Cash Flow Method,Balance Sheet Analysis,Profit Margin Method,a,Chapter 1 explains that the Net Worth Theory uses personal spending and net worth changes to trace unreported income.,Unit 5: Microsoft Dynamics 365
