Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
3,3,"Mr. X, an investor buys the stocks of WBL Limited worth ` 21,60,000 due to very strong fundamentals. Since last 3 months, the market sentiment is weak and witnessed a significant volatility and considered to remain weak for about the next three months. Keeping in the mind volatility in the market, Mr. X is planning to hedge his portfolio in the future market. The Beta of WBL stock is 1.3 and the current value of NIFTY is 2250 and 3 months future is selling at 2310. The current market price of the WBL stock is ` 240. Each Nifty future can be trade in units of 240 only. Assume there is no transaction cost and M to M Margin. From the information given above, choose the correct answer to the following questions:","3. If NIFTY index rises by 6% from 2250 to 2385 and WBL stock rises to ` 255, what will be Net Gain/Loss when portfolio was in hedged?","Net Loss ` 90,000","Net Gain ` 45,000","Net Gain ` 1,35,000","Net Gain ` 90,000",b,"9000( ` 255 â€“ ` 240) + (2310 â€“ 2385) x 5 x ` 240 = ` 45,000"
4,1,"ABC Ltd., a UK firm, has a receivable $ 20 Million due in 6 months. The company wants to cover full exposure. Following information are available: Spot rate 1$ = Â£ 0.7720 / Â£ 0.7840 6 months forward rate 1$ = Â£ 0.7910 / Â£ 0.8040 Interest rates are as follows: US UK 6 months deposit rate 4.50% p.a. 5.50% p.a. 6 months borrowing rate 6.00% p.a. 7.50% p.a. Following options on pound are available: Option Strike rate Price Call Â£ 0.8100 Â£ 0.01 Put Â£ 0.8100 Â£ 0.02 ABC Limited has forecasted the spot rates for 6 months as follows: Future Rates of 1$ Probability Â£ 0.7800 30%. Â£ 0.8100 50% Â£ 0.8300 20% From the information given above, choose the correct answer to the following questions:","1. What will be the total expected value of option hedge in pounds, if the full exposure of 20 Million is covered?",Â£ 16.125 million,Â£ 16.50 million,Â£ 15.88 million,Â£ 15.70 million,c,[( Â£ 0. 81 x 0.30 + Â£ 0.81 x 0.50 + Â£ 0.8 3 x 0.20) x 20000000] - Â£ 400000
4,2,"ABC Ltd., a UK firm, has a receivable $ 20 Million due in 6 months. The company wants to cover full exposure. Following information are available: Spot rate 1$ = Â£ 0.7720 / Â£ 0.7840 6 months forward rate 1$ = Â£ 0.7910 / Â£ 0.8040 Interest rates are as follows: US UK 6 months deposit rate 4.50% p.a. 5.50% p.a. 6 months borrowing rate 6.00% p.a. 7.50% p.a. Following options on pound are available: Option Strike rate Price Call Â£ 0.8100 Â£ 0.01 Put Â£ 0.8100 Â£ 0.02 ABC Limited has forecasted the spot rates for 6 months as follows: Future Rates of 1$ Probability Â£ 0.7800 30%. Â£ 0.8100 50% Â£ 0.8300 20% From the information given above, choose the correct answer to the following questions:","2. If ABC Ltd. is using forward hedge strategy, what will be total proceed in pound?",Â£ 15.40 million,Â£ 15.88 million,Â£ 16.125 million,Â£ 15.82 million,d,Â£ 0.791 x $ 20000000
4,3,"ABC Ltd., a UK firm, has a receivable $ 20 Million due in 6 months. The company wants to cover full exposure. Following information are available: Spot rate 1$ = Â£ 0.7720 / Â£ 0.7840 6 months forward rate 1$ = Â£ 0.7910 / Â£ 0.8040 Interest rates are as follows: US UK 6 months deposit rate 4.50% p.a. 5.50% p.a. 6 months borrowing rate 6.00% p.a. 7.50% p.a. Following options on pound are available: Option Strike rate Price Call Â£ 0.8100 Â£ 0.01 Put Â£ 0.8100 Â£ 0.02 ABC Limited has forecasted the spot rates for 6 months as follows: Future Rates of 1$ Probability Â£ 0.7800 30%. Â£ 0.8100 50% Â£ 0.8300 20% From the information given above, choose the correct answer to the following questions:",3. What will be expected spot rate at the end of 6 months and expected cost (proceed) if no hedge strategy is adopted by the company?,"Â£ 0.805/$, Â£ 16.10 million","Â£ 0.85/$, Â£ 15.8 million","Â£ 0.7720/$, Â£ 15.44 million","Â£ 0.7910/$, Â£ 15.82 million",a,(Â£ 0.78 x 0.30 + Â£ 0.81 x 0.50 + Â£ 0.83 x 0.20) = Â£ 0.805; Â£ 16.10 million
4,4,"ABC Ltd., a UK firm, has a receivable $ 20 Million due in 6 months. The company wants to cover full exposure. Following information are available: Spot rate 1$ = Â£ 0.7720 / Â£ 0.7840 6 months forward rate 1$ = Â£ 0.7910 / Â£ 0.8040 Interest rates are as follows: US UK 6 months deposit rate 4.50% p.a. 5.50% p.a. 6 months borrowing rate 6.00% p.a. 7.50% p.a. Following options on pound are available: Option Strike rate Price Call Â£ 0.8100 Â£ 0.01 Put Â£ 0.8100 Â£ 0.02 ABC Limited has forecasted the spot rates for 6 months as follows: Future Rates of 1$ Probability Â£ 0.7800 30%. Â£ 0.8100 50% Â£ 0.8300 20% From the information given above, choose the correct answer to the following questions:",4. Identify which option gives the highest proceed.,Option hedge,Forward hedge,Money market hedge,No hedge,d,As no hedging strategy has highest receipt of Â£.
5,1,"P Ltd. is considering a new project with the following details: Initial project cost ` 4,80,000 Annual projected sales ` 4,00,000 Annual projected variable cost ` 1,60,000 Annual projected fixed cost ` 60,000 Project life 4 years Cost of capital 10% p.a. Consider Cumm. PVF for 4 years @ 10% = 3.169 and @ 11% = 3.103 Note : (a) Ignore depreciation on initial project cost and taxation. (b) Calculation up to 2 decimal places. From the information given above, choose the correct answer to the following questions.","1. If initial project cost is varied adversely by 10%, what is the percentage change in NPV?",42.42%,52.80%,53.09%,63.09%,c,[ (90420 â€“ 42420)/90420 ] x 100 = 53.09%
5,2,"P Ltd. is considering a new project with the following details: Initial project cost ` 4,80,000 Annual projected sales ` 4,00,000 Annual projected variable cost ` 1,60,000 Annual projected fixed cost ` 60,000 Project life 4 years Cost of capital 10% p.a. Consider Cumm. PVF for 4 years @ 10% = 3.169 and @ 11% = 3.103 Note : (a) Ignore depreciation on initial project cost and taxation. (b) Calculation up to 2 decimal places. From the information given above, choose the correct answer to the following questions.","2. If annual cash inflow is varied adversely by 10%, what is the percentage change in NPV?",33.38%,53.09%,63.09%,52.80%,c,[ (90420 â€“ 33378)/90420 ] x 100 = 63.09%
5,3,"P Ltd. is considering a new project with the following details: Initial project cost ` 4,80,000 Annual projected sales ` 4,00,000 Annual projected variable cost ` 1,60,000 Annual projected fixed cost ` 60,000 Project life 4 years Cost of capital 10% p.a. Consider Cumm. PVF for 4 years @ 10% = 3.169 and @ 11% = 3.103 Note : (a) Ignore depreciation on initial project cost and taxation. (b) Calculation up to 2 decimal places. From the information given above, choose the correct answer to the following questions.","3. If cost of capital is varied adversely by 10%, what is the percentage change in NPV?",11.00%,12.10%,13.14%,14.45%,c,[ (90420 â€“ 78540) ] /90420 x 100 = 13.14%
6,1,"Fair Return Mutual Fund made an issue of 5,00,000 units @ ` 10 each on 1 st April 2024. No entry load was charged. The fund made the following investments: Particulars ( ` ) 25,000 Equity Shares of ` 100 each @ ` 160 40,00,000 7% Government Securities (At Par) 4,00,000 9% Debentures (Unlisted) (At Par) 2,50,000 10% Debentures (Listed) (At Par) 2,50,000 49,00,000 During the year dividend of ` 6,00,000 were received on equity shares. Interest on all types of debt securities was received as and when due. Operating expenses paid during the year amounted to ` 2,50,000. At the end of the year equity shares and 10% debentures are quoted at 175% and 90% respectively of the face value. Other investments are valued at par. From the information given above, choose the correct answer to the following questions :",1. What is net cash balance of the Mutual Fund at the end of the year?,"` 1,00,000","` 7,00,000","` 7,75,500","` 5,25,500",d,"` 1,00,000 + ` 6,00,000 + ` 28,000 + ` 22,500 + ` 25,000 - ` 2,50,000"
6,2,"Fair Return Mutual Fund made an issue of 5,00,000 units @ ` 10 each on 1 st April 2024. No entry load was charged. The fund made the following investments: Particulars ( ` ) 25,000 Equity Shares of ` 100 each @ ` 160 40,00,000 7% Government Securities (At Par) 4,00,000 9% Debentures (Unlisted) (At Par) 2,50,000 10% Debentures (Listed) (At Par) 2,50,000 49,00,000 During the year dividend of ` 6,00,000 were received on equity shares. Interest on all types of debt securities was received as and when due. Operating expenses paid during the year amounted to ` 2,50,000. At the end of the year equity shares and 10% debentures are quoted at 175% and 90% respectively of the face value. Other investments are valued at par. From the information given above, choose the correct answer to the following questions :",2. What is Total Net Assets Value (NAV) of the Mutual Fund at the end of the year?,"` 52,50,000","` 50,25,000","` 57,75,500","` 49,00,500",c,"175% x ` 25,00,000 + ` 4,00,000 + ` 2,50,000 + 90% x ` 2, 50 ,000 + ` 5,25,500"
6,3,"Fair Return Mutual Fund made an issue of 5,00,000 units @ ` 10 each on 1 st April 2024. No entry load was charged. The fund made the following investments: Particulars ( ` ) 25,000 Equity Shares of ` 100 each @ ` 160 40,00,000 7% Government Securities (At Par) 4,00,000 9% Debentures (Unlisted) (At Par) 2,50,000 10% Debentures (Listed) (At Par) 2,50,000 49,00,000 During the year dividend of ` 6,00,000 were received on equity shares. Interest on all types of debt securities was received as and when due. Operating expenses paid during the year amounted to ` 2,50,000. At the end of the year equity shares and 10% debentures are quoted at 175% and 90% respectively of the face value. Other investments are valued at par. From the information given above, choose the correct answer to the following questions :","3. If the Mutual Fund distributes a dividend of ` 0.60 per unit during the year to the unit holders, the NAV per unit at the end of the year will be (a)",` 11.551,` 10.951,` 10.051,` 12.751,b,"( ` 57,75,500 â€“ 5,00,000 x ` 0.60)/ 5,00,000"
7,1,"HHM & Co., is a famous consultant. It has established the following strategy on the stock of PLS Ltd: (a) Purchased one 3-month call option with a premium of ` 25 and an exercise price of ` 750. (b) Purchased one 3-month put option with a premium of ` 8 and an exercise price of ` 600. The stock of PLS Ltd is currently selling at ` 680. The option size is 100 shares of PLS Ltd. From the information given above, choose the correct answer to the following questions:","1. What is the Net gain or loss, if the price of the stock remains at ` 680 after 3 months?","Net loss of ` 3,300","Net gain of ` 3,300","Net gain of ` 6,700","Net loss of ` 6,700",a,` 25 x 100 + ` 8 x 100
7,2,"HHM & Co., is a famous consultant. It has established the following strategy on the stock of PLS Ltd: (a) Purchased one 3-month call option with a premium of ` 25 and an exercise price of ` 750. (b) Purchased one 3-month put option with a premium of ` 8 and an exercise price of ` 600. The stock of PLS Ltd is currently selling at ` 680. The option size is 100 shares of PLS Ltd. From the information given above, choose the correct answer to the following questions:","2. What is the Net gain or loss, if the price of the stock falls to ` 500 after 3 months?","Net loss of ` 3,300","Net gain of ` 3,300","Net gain of ` 6,700","Net loss of ` 6,700",c,"100 ( ` 600 - ` 500) - ` 3,300"
7,3,"HHM & Co., is a famous consultant. It has established the following strategy on the stock of PLS Ltd: (a) Purchased one 3-month call option with a premium of ` 25 and an exercise price of ` 750. (b) Purchased one 3-month put option with a premium of ` 8 and an exercise price of ` 600. The stock of PLS Ltd is currently selling at ` 680. The option size is 100 shares of PLS Ltd. From the information given above, choose the correct answer to the following questions:","3. What is the Net gain or loss, if the price of the stock rises to ` 820?","Net loss of ` 3,700","Net gain of ` 3,700","Net gain of ` 10,300","Net loss of ` 10,300",b,"100 ( ` 820 - ` 750) - ` 3,300"
8,1,"On 3 rd April, 2025, Royal Bank quotes the following: Bid Ask Spot Exchange Rate (US$ 1) ` 84.2525 ` 85.5945 2 monthsâ€™ swap points 60 80 3 monthsâ€™ swap points 150 178 In a spot transaction, delivery is made after two days. Assume spot date as 5 th April, 2025 and 1 swap point = 0.0001. Calculation up to 4 decimal places. From the information given above, choose the correct answer to the following questions :","1. The swap points for 2 months & 15 days (i.e., for 20 th June, 2025) will be",Bid â€“ 90 and Ask â€“ 98,Bid â€“ 105 and Ask â€“ 129,Bid â€“ 98 and Ask â€“ 90,Bid â€“ 129 and Ask â€“ 105,b,60 + (150 - 60)15/30; 80 + (178 - 80) 15/30
8,2,"On 3 rd April, 2025, Royal Bank quotes the following: Bid Ask Spot Exchange Rate (US$ 1) ` 84.2525 ` 85.5945 2 monthsâ€™ swap points 60 80 3 monthsâ€™ swap points 150 178 In a spot transaction, delivery is made after two days. Assume spot date as 5 th April, 2025 and 1 swap point = 0.0001. Calculation up to 4 decimal places. From the information given above, choose the correct answer to the following questions :","2. Foreign exchange rate for 20 th June, 2025 will be",Bid â€“ ` 85.2525 and Ask â€“ ` 84.5945,Bid â€“ ` 84.5945 and Ask â€“ ` 85.2525,Bid â€“ ` 84.2630 and Ask â€“ ` 85.6074,Bid â€“ ` 85.6074 and Ask â€“ ` 84.2630,c,` 84.2525 + ` 0.0105; ` 85.5945 + ` 0.0129
8,3,"On 3 rd April, 2025, Royal Bank quotes the following: Bid Ask Spot Exchange Rate (US$ 1) ` 84.2525 ` 85.5945 2 monthsâ€™ swap points 60 80 3 monthsâ€™ swap points 150 178 In a spot transaction, delivery is made after two days. Assume spot date as 5 th April, 2025 and 1 swap point = 0.0001. Calculation up to 4 decimal places. From the information given above, choose the correct answer to the following questions :","3. On an average rate, the annual rate of premium/discount of US $ on Indian ` will be",Bid â€“ 0.0498% and Ask â€“ 0.0524% (Premium),Bid â€“ 0.0598% and Ask â€“ 0.0723% (Discount),Bid â€“ 0.0723% and Ask â€“ 0.0598 % (Premium),Bid â€“ 0.0598% and Ask â€“ 0.0723% (Premium),d,0.0105 12 Ã— 84.25775 2.5 ; 0.0129 12 Ã— 85.60095 2.5
9,1,"ABC Ltd. is planning to acquire XYZ Ltd. The following information is available in this respect: Company No. of Shares Market Price Per Share ( ` ) P/E Ratio ABC Ltd. 12,00,000 16 20 times XYZ Ltd. 4,00,000 20 10 times ABC Ltd. plans to acquire the whole of XYZ Ltd. by issuing shares at its market price of ` 16. It is expected that the price of ABC Ltd. share will remain constant after this acquisition. Purchase Consideration is ` 80,00,000. Calculation up to 2 decimal places. From the information given above, choose the correct answer to the following questions :",1. EPS of ABC Ltd. & XYZ Ltd. before acquisition are respectively,` 0.8 & ` 2.0,` 2.0 & ` 0.8,` 0.8 & ` 1.04,` 1.04 & ` 0.8,a,1 6 / 2 0; 2 0 / 1 0
9,2,"ABC Ltd. is planning to acquire XYZ Ltd. The following information is available in this respect: Company No. of Shares Market Price Per Share ( ` ) P/E Ratio ABC Ltd. 12,00,000 16 20 times XYZ Ltd. 4,00,000 20 10 times ABC Ltd. plans to acquire the whole of XYZ Ltd. by issuing shares at its market price of ` 16. It is expected that the price of ABC Ltd. share will remain constant after this acquisition. Purchase Consideration is ` 80,00,000. Calculation up to 2 decimal places. From the information given above, choose the correct answer to the following questions :",2. EPS of ABC Ltd. after acquisition is,` 0.84,` 0.96,` 1.04,` 1.14,c,[(0.8 x 1200000 ) + (2.0 x 400000)]/[1200000 + (400000 x 20/16)]
9,3,"ABC Ltd. is planning to acquire XYZ Ltd. The following information is available in this respect: Company No. of Shares Market Price Per Share ( ` ) P/E Ratio ABC Ltd. 12,00,000 16 20 times XYZ Ltd. 4,00,000 20 10 times ABC Ltd. plans to acquire the whole of XYZ Ltd. by issuing shares at its market price of ` 16. It is expected that the price of ABC Ltd. share will remain constant after this acquisition. Purchase Consideration is ` 80,00,000. Calculation up to 2 decimal places. From the information given above, choose the correct answer to the following questions :",3. P/E Ratio of ABC Ltd. after acquisition is,20 times,15.38 times,10 times,14.55 times,b,` 16/ ` 1.04
10,1,"A and B are two friends. Since B has earned a lot of profit from trading in financial derivative market, A is also considering speculating on G Ltd.â€™s shares which is currently trading at ` 1,400 per share through taking positions in options in stocks of same company. Accordingly, A took following contract positions in the options on G Ltd.â€™s stock: (i) Selling one contract of 2-month call option with a premium of ` 70 and an exercise price of ` 1,500. (ii) Purchasing one contract of 2-month put option with a premium of ` 50 and an exercise price of ` 1,200. From the information given above, choose the correct answer to the following questions:","1. Assuming that the contract size of each option contract is 200 and the price of G Ltd.â€™s share after two months falls to ` 1,100, the net pay-off of A will be","` 24,000 loss","` 24,000 profit","` 40,000 profit","` 40,000 loss",b,"(` 1,200 - ` 1,100) x 2 00 + ` 70 x 2 00 - ` 50 x 2 00 = ` 24 ,000"
10,2,"A and B are two friends. Since B has earned a lot of profit from trading in financial derivative market, A is also considering speculating on G Ltd.â€™s shares which is currently trading at ` 1,400 per share through taking positions in options in stocks of same company. Accordingly, A took following contract positions in the options on G Ltd.â€™s stock: (i) Selling one contract of 2-month call option with a premium of ` 70 and an exercise price of ` 1,500. (ii) Purchasing one contract of 2-month put option with a premium of ` 50 and an exercise price of ` 1,200. From the information given above, choose the correct answer to the following questions:",2. The per share price of G Ltd.â€™s stock after 2 months at which A shall be at Break Even is..,"` 1,180","` 1,200","` 1,250","` 1,570",a,"` 1,200 â€“ ( ` 70 - ` 50) = ` 1, 1 80"
10,3,"A and B are two friends. Since B has earned a lot of profit from trading in financial derivative market, A is also considering speculating on G Ltd.â€™s shares which is currently trading at ` 1,400 per share through taking positions in options in stocks of same company. Accordingly, A took following contract positions in the options on G Ltd.â€™s stock: (i) Selling one contract of 2-month call option with a premium of ` 70 and an exercise price of ` 1,500. (ii) Purchasing one contract of 2-month put option with a premium of ` 50 and an exercise price of ` 1,200. From the information given above, choose the correct answer to the following questions:","3. Assuming that the contract size of each option contract is 300 and the price of G Ltd.â€™s share after two months raises to ` 1,600, the net pay-off of A will be","` 24,000 loss","` 66,000 loss","` 24,000 profit","` 66,000 profit",a,"(` 1,500 - ` 1,600) x 3 00 + ` 70 x 3 00 - ` 50 x 3 00 = - ` 24 ,000"
11,1,"A Ltd. wants to acquire D Ltd. and has offered a swap ratio of 1:2 (0.5 shares for every one share of D Ltd.). Following information is provided: A Ltd. D Ltd. Profit after tax ` 72 ,00,000 ` 14 , 4 0,000 Equity shares outstanding (Nos.) 24 ,00,000 7 , 2 0,000 PE Ratio 5 times 3.5 times Market price per share ` 15 ` 7 From the information given above, choose the correct answer to the following questions:",1. The number of equity shares to be issued by A Ltd. for acquisition of D Ltd. would be,"3,36,000","3,60,000","4,80,000","6,00,000",b,72 0000 x 0.50 = 36 0000
11,2,"A Ltd. wants to acquire D Ltd. and has offered a swap ratio of 1:2 (0.5 shares for every one share of D Ltd.). Following information is provided: A Ltd. D Ltd. Profit after tax ` 72 ,00,000 ` 14 , 4 0,000 Equity shares outstanding (Nos.) 24 ,00,000 7 , 2 0,000 PE Ratio 5 times 3.5 times Market price per share ` 15 ` 7 From the information given above, choose the correct answer to the following questions:",2. The EPS of A Ltd. after the acquisition would be,` 2,` 3,` 3.13,` 4.00,c,"(c) ( ` 72 ,00,000 + ` 14 , 4 0,000)/( 24 00000 + 36 0000) = ` 3.13"
11,3,"A Ltd. wants to acquire D Ltd. and has offered a swap ratio of 1:2 (0.5 shares for every one share of D Ltd.). Following information is provided: A Ltd. D Ltd. Profit after tax ` 72 ,00,000 ` 14 , 4 0,000 Equity shares outstanding (Nos.) 24 ,00,000 7 , 2 0,000 PE Ratio 5 times 3.5 times Market price per share ` 15 ` 7 From the information given above, choose the correct answer to the following questions:",3. The equivalent earnings per share of D Ltd. would be..,` 1,` 1.50,` 1.57,` 2.00,c,(c) ` 3.13 x 0.50 = ` 1.57
11,4,"A Ltd. wants to acquire D Ltd. and has offered a swap ratio of 1:2 (0.5 shares for every one share of D Ltd.). Following information is provided: A Ltd. D Ltd. Profit after tax ` 72 ,00,000 ` 14 , 4 0,000 Equity shares outstanding (Nos.) 24 ,00,000 7 , 2 0,000 PE Ratio 5 times 3.5 times Market price per share ` 15 ` 7 From the information given above, choose the correct answer to the following questions:",4. If A Ltd. PE multiple remains unchanged then market capitalisation of A Ltd. after the acquisition would be,` 50.40 Lakh,` 360.00 Lakh,` 431.94 Lakh,` 400.00 Lakh,c,(c) (` 3.13 x 5 = ` 15.65 ) x 2760000
12,1,"During one business meeting at ABC Ltd., one of the members presented data relating to 3 companies X Ltd., Y Ltd. and Z Ltd. whose operating Income are equal, but their capital structure is different. (in ` 000) X Ltd. Y Ltd. Z Ltd. Total invested capital 40,00,000 40,00,000 40,00,000 Debt/Assets ratio 0.8 0.5 0.2 Shares outstanding 1,22,000 1,66,000 2,00,000 Post tax Cost of Debt 10.40% 8.45% 9.75% Cost of Equity 26% 22% 20% Operating Income (EBIT) 10,00,000 10,00,000 10,00,000 The Tax rate is uniform 35% in all cases. The industry PE ratio is 10X. From the information given above, choose the correct answer to the following questions:",1. The weighted average cost of capital of Y Ltd. shall be approximately .,13.52%,15.23%,17.95%,18.00%,b,8.45% x 0. 5 0 + 2 2 % x 0. 5 0 = 15.23 %
